x,y,sun,rock,shadow,elevation,lapse,temperature
-20.0,-20.0,7.320251120656737e-13,3.018273364266869e-05,-9.85064025356977e-56,406.9485582262191,-2.645165628470424,17.35486455426395
-19.66386554621849,-20.0,1.193977925571718e-12,4.20035930075381e-05,-4.1024838410680175e-55,413.0761519599731,-2.684994987739825,17.31504701585438
-19.327731092436974,-20.0,1.9328374194145273e-12,5.779727680982459e-05,-1.6830100849607366e-54,417.1302196625909,-2.711346427806841,17.2887113694719
-18.991596638655462,-20.0,3.105439421003361e-12,7.86359930590333e-05,-6.801175420757116e-54,419.0821497772324,-2.7240339735520105,17.276044662444153
-18.65546218487395,-20.0,4.951987138437134e-12,0.00010578605923769094,-2.707314154579891e-53,418.9181665696178,-2.722968082702516,17.277137703361674
-18.319327731092436,-20.0,7.83726738447392e-12,0.00014071116754972509,-1.0615751656403644e-52,416.6394273501845,-2.708156277776199,17.291984433399186
-17.983193277310924,-20.0,1.2310580409865308e-11,0.00018506392057951348,-4.10034373425371e-52,412.2620143063757,-2.679703092991442,17.320481970941447
-17.647058823529413,-20.0,1.9192038405402072e-11,0.0002406622732023955,-1.5600811868235453e-51,405.8168210027053,-2.6378093365175843,17.36243132577481
-17.310924369747898,-20.0,2.969561940118484e-11,0.00030944775401951655,-5.846979254870023e-51,397.3493343496249,-2.5827706732725617,17.417538774511154
-16.974789915966387,-20.0,4.560289168507169e-11,0.0003934229762711004,-2.158605728431453e-50,386.9193135799443,-2.514975538269638,17.485417884752234
-16.63865546218487,-20.0,6.95058062715632e-11,0.0004945670383949029,-7.85005169158261e-50,374.6003684984287,-2.4349023952397864,17.565592171868115
-16.30252100840336,-20.0,1.0514254823881194e-10,0.0006147289716234654,-2.8120894224210217e-49,360.4794399810736,-2.343116359876978,17.657498369199786
-15.966386554621849,-20.0,1.5785728197011899e-10,0.0007555013746493029,-9.923003764535382e-49,344.65618639042884,-2.2402652115377872,17.76049028999472
-15.630252100840336,-20.0,2.352228201703914e-10,0.0009180786765413326,-3.449170034582467e-48,327.2422802373433,-2.1270748215427315,17.873843257369032
-15.294117647058822,-20.0,3.478748194418883e-10,0.001103106913339109,-1.1809825258641163e-47,308.3606200529359,-2.004344030344083,17.99675907691713
-14.957983193277311,-20.0,5.106169707035115e-10,0.0013105342532323213,-3.983178398661548e-47,288.14446303299843,-1.8729390097144898,18.12837152504936
-14.621848739495798,-20.0,7.438685629579296e-10,0.001539473476627636,-1.3233461656127976e-46,266.7364845761905,-1.7337871497452382,18.267752324475254
-14.285714285714285,-20.0,1.075538286961062e-09,0.0017880889096524048,-4.330864415464367e-46,244.28777135332746,-1.5878705137966285,18.413917576188563
-13.949579831932773,-20.0,1.5434204645310427e-09,0.002053520640561657,-1.396153376571593e-45,220.956755014169,-1.4362189075920984,18.565834614591882
-13.61344537815126,-20.0,2.1982209532825093e-09,0.002331857996432375,-4.433524301671829e-45,196.9080940570656,-1.2799026113709264,18.722429248823726
-13.277310924369747,-20.0,3.107328308462118e-09,0.002618172102433442,-1.3868275950879858e-44,172.31151175266177,-1.1200248263923014,18.88259334881746
-12.941176470588236,-20.0,4.35944948290742e-09,0.0029066139035891572,-4.2732005438967753e-44,147.34059832300056,-0.9577138890995036,19.045192729163535
-12.605042016806722,-20.0,6.070226087520503e-09,0.003190579471295798,-1.2970045342189538e-43,122.17158582964315,-0.7941153078926805,19.20907527764884
-12.26890756302521,-20.0,8.38893431080634e-09,0.0034629390735953103,-3.8778154148769406e-43,96.98210441702395,-0.6303836787106556,19.373079268751876
-11.932773109243698,-20.0,1.150634602068415e-08,0.003716320826042314,-1.1420633375114297e-42,71.94992868884407,-0.4676745364774864,19.536041795854903
-11.596638655462185,-20.0,1.5663787255306747e-08,0.0039434343197738905,-3.313222991518391e-42,47.25172306494392,-0.3071361999221354,19.696807250061426
-11.260504201680671,-20.0,2.1163370317743186e-08,0.004137415038899778,-9.468224824482431e-42,23.061794973292933,-0.14990166732640406,19.854235768875867
-10.924369747899158,-20.0,2.8379294588779398e-08,0.004292167184811643,-2.665286356341963e-41,-0.44913532356741825,0.0029193796031882187,20.007211575167293
-10.588235294117647,-20.0,3.777000745765843e-08,0.004402681161141762,-7.390547447348383e-41,-23.115139585682414,0.15024840730693567,20.154651126238086
-10.252100840336134,-20.0,4.9890890357063706e-08,0.0044653027024191185,-2.0186766607662507e-40,-44.776252633175204,0.2910456421156388,20.295510994708945
-9.91596638655462,-20.0,6.5406987634894e-08,0.004477933491555052,-5.431431832557884e-40,-65.27960129947814,0.4243174084466079,20.42879540734515
-9.579831932773109,-20.0,8.510513221414554e-08,0.0044401479056575535,-1.4395253714343849e-39,-84.4804833327272,0.5491231416627268,20.553563374673516
-9.243697478991596,-20.0,1.0990464888263958e-07,0.004353216830401536,-3.75821596449687e-39,-102.24338863097739,0.664582026101353,20.668935352836403
-8.907563025210083,-20.0,1.40865643982754e-07,0.0042200366844838315,-9.66499339235893e-39,-118.44295560387877,0.769879211425212,20.77409938897534
-8.571428571428571,-20.0,1.7919373281799014e-07,0.004044969182772015,-2.4483799189271444e-38,-132.9648559112975,0.8642715634234337,20.868316711799938
-8.235294117647058,-20.0,2.2623992978484702e-07,0.0038336042022056246,-6.109609814695532e-38,-145.70660133484432,0.9470929086764881,20.950926739118625
-7.899159663865545,-20.0,2.8349434989696173e-07,0.0035924637279416667,-1.5017773870609074e-37,-156.5782670878183,1.017758736070819,21.02135148329311
-7.563025210084033,-20.0,3.525723640325248e-07,0.003328668725333081,-3.636261142799571e-37,-165.503126458814,1.075770321982291,21.07909934327999
-7.22689075630252,-20.0,4.3519193364688017e-07,0.00304959258904926,-8.67285306205338e-37,-172.418192309995,1.1207182500149675,21.12376827779595
-6.890756302521007,-20.0,5.331410413876013e-07,0.0027625244837334983,-2.0376347144539117e-36,-177.27466160841573,1.1522853004547022,21.15504835807948
-6.554621848739494,-20.0,6.482344451638832e-07,0.002474363566119604,-4.715720888167942e-36,-180.03825985311403,1.170248689045241,21.172723700845804
-6.218487394957982,-20.0,7.822594211556429e-07,0.002191361125164013,-1.0750465574269379e-35,-180.68948296718213,1.1744816392866837,21.176673782671266
-5.882352941176469,-20.0,9.369107234218232e-07,0.0019189226008696123,-2.414147895094419e-35,-179.2237349476643,1.1649542771598178,21.16687413667141
-5.546218487394956,-20.0,1.1137156607295002e-06,0.0016614758275050677,-5.340204528196291e-35,-175.6513603018186,1.141733841961821,21.143396431504986
-5.210084033613445,-20.0,1.313950949390716e-06,0.0014224062787441235,-1.1636150458218817e-34,-169.99757104082255,1.1049842117653466,21.106407931995044
-4.8739495798319314,-20.0,1.5385538062009763e-06,0.0012040550912655983,-2.497572964305517e-34,-162.30226874616653,1.0549647468500825,21.056170340495154
-4.537815126050418,-20.0,1.7880305482922024e-06,0.0010077716117679529,-5.280614453256966e-34,-152.61976296449734,0.9920284592692327,20.993038018911548
-4.201680672268907,-20.0,2.062366707559825e-06,0.000834009402165829,-1.0997859179590458e-33,-141.01838791834143,0.9166195214692192,20.917455593238092
-3.8655462184873954,-20.0,2.3609432809223604e-06,0.000682453141334414,-2.2562606436767007e-33,-127.58002023776612,0.8292701315454798,20.829954945630096
-3.5294117647058805,-20.0,2.682464157252443e-06,0.0005521636234549371,-4.559611081383001e-33,-112.39950111658823,0.7305967572578235,20.731151603345435
-3.193277310924369,-20.0,3.024899924891438e-06,0.00044172889708775153,-9.076611602721969e-33,-95.58396697125659,0.6212957853131678,20.62174053911018
-2.857142857142854,-20.0,3.3854531182379883e-06,0.0003494112583137675,-1.779824261152301e-32,-77.25209332627782,0.5021386066208058,20.50249140333224
-2.5210084033613427,-20.0,3.760549472713786e-06,0.0002732820090150679,-3.437857823018063e-32,-57.53325726246436,0.3739661722060183,20.374243214764505
-2.1848739495798313,-20.0,4.145858911468628e-06,0.00021133832132916829,-6.541180304495411e-32,-36.56662433901374,0.23768305820358931,20.23789854238383
-1.8487394957983163,-20.0,4.536348798021415e-06,0.0001615989481065906,-1.2259753775532681e-31,-14.500166433466688,0.09425108181753347,20.094417217114437
-1.512605042016805,-20.0,4.926370498993582e-06,0.00012217767876464495,-2.263418151629287e-31,8.510382568869886,-0.05531748669765426,19.94480961735161
-1.1764705882352935,-20.0,5.309778581205006e-06,9.133521897134372e-05,-4.116283326800493e-31,32.302625865822165,-0.20996706812784408,19.790129576869706
-0.8403361344537785,-20.0,5.68008011452969e-06,6.751149776977119e-05,-7.374000189661207e-31,56.70864985273988,-0.36860622404280924,19.631466967535072
-0.5042016806722671,-20.0,6.030609683147803e-06,4.934126460157756e-05,-1.3012431249678278e-30,81.55620917168446,-0.5301153596159489,19.469940012258338
-0.1680672268907557,-20.0,6.354723952475198e-06,3.565626702169161e-05,-2.2618883851615905e-30,106.66994233194097,-0.6933546251576163,19.30668738583336
0.16806722689075926,-20.0,6.646008128649896e-06,2.5477366522277972e-05,-3.8729448433127376e-30,131.8726093226145,-0.8571719605969942,19.14286016277766
0.5042016806722707,-20.0,6.898485504825171e-06,1.799974119577718e-05,-6.532341374963599e-30,156.986342482871,-1.0204112261386615,18.97961367208804
0.8403361344537821,-20.0,7.106820616707725e-06,1.2573930363296589e-05,-1.085310118653307e-29,181.83390180181559,-1.1819203617118013,18.81809931903918
1.176470588235297,-20.0,7.266506402091857e-06,8.684981648743182e-06,-1.776217933665746e-29,206.2399257887333,-1.3405595176267664,18.659456433861283
1.5126050420168085,-20.0,7.374026211270535e-06,5.9314356578081835e-06,-2.86349262008532e-29,230.03216908568555,-1.495209099056956,18.504804206404913
1.8487394957983199,-20.0,7.4269825403979445e-06,4.005380752251119e-06,-4.547296835457809e-29,253.0427180880221,-1.6447776675721435,18.35523376479115
2.184873949579835,-20.0,7.42418590771709e-06,2.6743660693298446e-06,-7.113248161257015e-29,275.1091759935691,-1.7882096439581991,18.211800454593774
2.5210084033613462,-20.0,7.365699271695694e-06,1.7655944902413385e-06,-1.0960744009763365e-28,296.0758089170198,-1.9244927579606286,18.075516373333134
2.8571428571428577,-20.0,7.252835674707971e-06,1.1525350467378816e-06,-1.6636789758520613e-28,315.7946449808332,-2.052665192375416,17.947343212995307
3.1932773109243726,-20.0,7.0881092354185475e-06,7.438928428457525e-07,-2.487461920144332e-28,334.12651862581197,-2.1718223710677775,17.828185460934304
